In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
"Give 2 examples of applications for which an operating system's paging features may actually hurt system performance:"	1. Databases: These applications often provide their own memory management and I/O buffering, and duplicating these features at the operating system level can be wasteful and inefficient. 2. Data warehouses: These applications may perform massive sequential disk reads, followed by computations an disk writes. An MFU replacement policy would actually out-perform a LRU policy in this case.		
Why is the minimum number of frames allocated to each process dependent on the architecture?	The maximum possible number of page references (for a single instruction) is determined by the instruction set architecture.		For example, for some addressing modes, the move instruction on the PDP-11 includes more than one word—thus, the instruction itself may straddle a page boundary. Additionally, each of its two operands may be indirect references—resulting in a total of 6 page (frame) references for a single operation. https://en.wikipedia.org/wiki/PDP-11_architecture#Optional_instruction_sets
Describe the relationship between indirect memory references and the minimum frame allocation for a process:	Each indirect memory reference may be referencing memory inside a different page frame. Thus, N indirect references may result in the processor referencing N unique page frames in memory. If this number is greater than the maximum frame allocation for the process, then the operation can never complete.		"Some architectures use a counter register to track the number of indirect references performed for an operation. If this count exceeds the limit for the architecture, a trap occurs (""Excessive indirection"")."
Describe an equal allocation algorithm:	A frame-allocation algorithm that divides the available frames equally amongst all active processes in the system. If frames cannot be divided evenly, the remaining frames can be used as a free-frame pool.		
Describe a proportional allocation algorithm:	A frame-allocation algorithm that allocates available frames to processes according to the virtual memory needs (usage) of each process.		
Give a formula for the number [$]a_i[/$] of physical pages allocates to process [$]p_i[/$]. • Let [$]s_i[/$] be the size of the virtual memory for process [$]p_i[/$]. • Let S be equal to [$]\sum{s_i}[/$]. • Let m be the total number of available frames in the system.	[$]a_i = \frac{s_i }{S} \times m[/$]		
Describe the relationship between the degree of multiprogramming in the system and the number of pages available to each process:	As the number of running processes increases, the number of pages available to each process decreases.		
Which criteria might we use for a proportional allocation algorithm?	• The amount of virtual memory used by a process. • The relative priority of each process. • A combination of size and priority.		
Distinguish a global replacement protocol from a local replacement protocol:	With global replacement, a process in need of additional pages may evict frame currently storing pages belonging to another process. With local replacement, a process may only replace frames storing pages that belong to that process.		
When a process may only replace those frames that it has been allocated, we call this a ________ replacement protocol.	Local replacement		
When a process may repurpose any frame in the system to store a page read in from disk, at the expense of other processes, we call this a ________ replacement protocol.	Global replacement		
Why are global replacement strategies more common than local replacement strategies?	Because global replacement can be shown to have greater system throughput.		
"How can the system's page replacement protocol affect a process's page-fault rate?"	With a local replacement protocol, a process (program) has some degree of control over its page-fault rate. The program may operate using a fixed set of pages, and, thus, it may be optimized by the programmer to target a certain expected rate. With a global replacement protocol, other processes may evict pages that are currently being used by the process, increasing its page-fault rate in a manner that the process has no control over.		
What is thrashing?	Thrashing is a phenomenon that occurs when certain circumstances cause the paging rate of a process (or, consequently, a system) to be very high.		
When a process is spending more time paging than executing, we say that it is ________.	Thrashing		
Which page-replacement strategy would typically cause less system-wide thrashing?	"A local replacement strategy, as one process that is thrashing cannot ""steal"" frames from another process, causing that process to thrash in turn."		
How can local thrashing (thrashing of a single process) affect the performance of other processes in the system?	When a process thrashes, it places many paging requests on the device queue. This increases the average time needed to service requests from other processes that inevitably page-fault (e.g., to access new instructions and data).		
The locality of reference model posits that, as a process executes, it moves from ________ to ________.	From locality to locality (in memory)		
What is a locality?	A locality is a set of pages that are actively being used together by a process. As a program executes, it typically enters (or visits) several localities.		
"The working-set model is concerned with tracking a running process's ________."	working set (window)		
Briefly describe the working-set model:	"The working-set model uses a parameter ([$]\theta[/$]) to define a process's working-set window. The window is defined by the [$]\theta[/$] most recently referenced pages. If a page is in active use, it will be in the process's working set."		
"The working set is a page-level approximation of a process's current ________."	locality		
The most important property of a working set is its ________.	size		
"Describe the relationship between a process's working-set size ([$]WSS_i[/$]) and its level of demand for frames (memory):"	"At any given time, a process needs [$]WSS_i[/$] frames. An increase in the size of a process's working set is an increase in the amount of memory that it needs to be resident in order to continue execution. A decrease in this number is a decrease in frame demand."		
"Given the working-set size [$]WSS_i[/$] for each process [$]P_i[/$] in the system, give a formula for the system's total demand for frames D:"	[$]D = \sum{WSS_i}[/$]		
"Thrashing occurs when a system's total demand for frames grows to be greater than ________."	The total number of available frames in the system.		
How might the operating system respond to thrashing?	By selecting one or more processes to suspend—moving its process state and associated pages out of main memory and into the backing store. Doing so causes a certain number of frames to become available to other processes, which may fix the thrashing.		
"How could we use a page table's reference bits to track a process's working set?"	"For each page table entry, we include a field storing one or more ""history bits"". We then set up a timer to fire at some fixed interval. When we get the timer interrupt, we copy the page entry's reference bit (set by the hardware) into the high-order history bit. We then shift any existing history bits towards the lowest-order position. We also clear the reference bit before the next timer interrupt."		
"Suppose we choose to use a timer, along with the reference bits in the page table, to keep track of a process's working set. What can we do to increase certainty (accuracy) when categorizing a page as part of (or not part of) the working set?"	1. Increase the number of history bits allocated for the page table entry. 2. Increase the frequency of the timer interrupt (i.e., reference-checking routine).		
We can reduce thrashing (and over-allocation of frames) by managing what characteristic of a process?	Its page-fault frequency.		
Designing a protocol to avoid thrashing requires that we define a ________ and a ________ on the page-fault rate.	An upper bound and a lower bound.		We can choose to increase or decrease the number of allocated frames according to where the current page-fault rate falls (in relation to these boundaries).
Briefly explain the concept of file memory-mapping:	We map a disk block to a page (or several pages) in main memory. Doing so allows us to leverage the paging system to read in and store portions of a file on-demand.		
What performance benefit can be gained through memory-mapping a file?	After the requested portions of the file are brought into main memory (as one or more frames), the operating system can work with the data directly in memory—initially bypassing expensive disk I/O and file-system operations.		Modifications to the data can be written back to disk at some scheduled time (e.g., when the disk is idle).
What clean-up actions may need to take place when a file handle is closed?	"1. If the file data was modified, it may need to be written to the backing store. A new write request would be placed on the storage device I/O queue. 2. The file mapping can be removed from the process's virtual address space (i.e., the page table entries for the pages mapping the file can be marked as invalid). 3. The underlying memory frames can be returned to the free-frame pool."		
How can file mapping allow for data sharing between processes?	Multiple processes can map the same file (in memory) to their own sets of pages. Each set of page table entries can be set up to point to the same underlying frames holding the file data. This allows a single copy of the data to exist in memory.		
How could file-mapping support a set of processes that would each like to modify the same file at some point(s) in time?	"When the file is mapped into each process's virtual address space, we can mark the mapping as copy-on-write-enabled. When a process attempts to write its own data to the file, new frames are allocated to the process to store a copy of the file data."		
What system call is used on Linux to map a file into virtual memory?	The mmap() system call.		
What Linux system calls are used to allocate (or use) a region of shared memory?	The shmget() and shmat() system calls.		These system calls are part of the POSIX shared-memory specification: https://en.wikipedia.org/wiki/Shared_memory#Support_on_Unix-like_systems
The Win32 API allows programmers to share memory via ________.	Memory-mapped files.		https://en.wikipedia.org/wiki/Shared_memory#Support_on_Windows
What system calls are offered by Win32 for mapping files?	1. CreateFileMapping() 2. MapViewOfFile() 3. UnmapViewOfFile()		
The Win32 API uses ________ to identify shared regions of memory (i.e., files):	Named objects.	"hMapFile = CreateFileMapping( hFile, // file handle NULL, // security flags PAGE_READWRITE, // view permissions 0, 0, // map entire file into the address space TEXT(""MySharedObject"") // named shared memory object );"	Processes may read from or write to a shared region of memory by creating a mapping to an existing named object.
What is memory-mapped I/O?	A hardware technique wherein a range of memory addresses are mapped to the dedicated registers of an I/O device. Whenever a process reads from or writes to these addresses, data is actually transferred to and from the device register(s).		
List 2 applications where an I/O device would benefit from memory-mapped I/O:	1. A video controller, which normally has a fast response time. 2. A modem, whose serial I/O port may need to consume data very quickly.		
Serial ports and parallel ports are examples of ________.	I/O ports		
How would a CPU normally send a long string of bytes through a serial port?	"The system can memory-map the device's control and data registers to virtual addresses that are addressable by the CPU. The CPU can write one byte to the data registers and set a bit in the control register, indicating to the device that new data is available. The device clears the control bit before the CPU provides the next byte of data."		
Distinguish programmed I/O from interrupt-driven I/O:	• Programmed I/O has the CPU frequently poll to check whether or not the control bit for the I/O device has been set (or unset) by the device. If the device is ready to receive new data, the CPU can place a new byte in the device register. • Interrupt-driven I/O requires the I/O device to issue a hardware interrupt to the CPU to indicate that the device is ready to take new data (over the I/O port or bus).		
Give 2 reasons why it may be inappropriate for the kernel to allocate its own memory using the memory-paging system:	1. Many kernel data structures are less than 1 page in size. This can lead to external fragmentation, which prevents the kernel from keeping a small footprint. 2. The kernel may interface with certain devices that expect an associated region of memory (i.e., a buffer) to be contiguous in order for the device to operate correctly.		
"Briefly, what is the ""buddy system"", and how might a kernel use it?"	The buddy system aims to produce as many contiguous allocations as possible within a dedicated segment of memory. A kernel can use this scheme to manage its own memory allocations for internal data structures, etc.		
"The ""buddy system"" is one example of a ________ memory allocator."	A power-of-two allocator.		
"Describe the scheme followed by a ""buddy system"" allocator:"	"With the buddy system, we start with a dedicated root segment of memory and continually divide part of it in half until the resulting pair of child segments [$]A_L[/$] and [$]A_R[/$] are as small as possible while still satisfying the request size. One of these child segments is chosen to satisfy the request, and it is marked as ""used"" by the allocator. When a segment is freed by the kernel, it can be ""coalesced"" into neighboring available segments in a recursive manner. Free all allocations would result in a single free segment (that is, the root segment)."		
What is one drawback of using a power-of-two allocator in the kernel?	With a power-of-two allocator, we cannot guarantee that less than 50% of the dedicated memory will be wasted due to internal fragmentation.		
A power-of-two allocator can suffer from ________ fragmentation.	Internal fragmentation		
Briefly describe the concept of a slab allocation scheme:	"We reserve a series of physically contiguous pages in memory, referring to it as a ""cache"". Each cache is associated with a particular kernel data structure, and is subdivided into multiple ""slabs"" of equal size; each slab is sized to a multiple of the associated data structure's size. The kernel populates each cache (and, thus, its slabs) with instances of the data structure. When a kernel process requires a new instance of the structure, we select a slab from the corresponding cache and mark one of its instances as ""used""."		
List 4 examples of kernel data structures that might receive their own dedicated caches under a slab allocation scheme:	1. Process control blocks / process descriptors. 2. File objects. 3. Semaphores.		
We can refer to the allocated instances of kernel data structures as ________.	Kernel objects.		
List and describe the possible states of a slab:	"1. Empty: All objects in the slab are marked as ""free"".2. Full: All objects in the slab are marked as ""used"". 3. Partially full: The slab holds a mix of free and used objects."		
List and describe 2 primary benefits of using a slab allocator to manage objects:	"1. Fragmentation does not occur, as this scheme's unit of allocation perfectly matches the size of the object in memory being requested. It is not possible to request more or less memory than what is required to store the object. 2. By pre-allocating and pre-initializing a number of object instances, requests for an instance can be satisfied very quickly."		
In what scenario is a slab allocation scheme particularly effective?	When a given kernel object is allocated and freed frequently by the system.		
What is pre-paging?	"A paging technique in which a page-fault may cause multiple pages to be brought in, in hopes of bringing more of a process's locality into memory."		
List 2 scenarios in which pre-paging is particularly beneficial:	1. When a process first begins executing, at which point it may have none of its pages resident in memory. 2. When a process leaves the wait queue (e.g., after some I/O completes) and resumes execution, at which point its pages may have been replaced.		
"Ideally, pre-paging would bring into memory a process's entire ________."	Working set.		
Describe 2 potential benefits of using a smaller page size:	"1. Fragmentation decreases with a smaller page size, resulting in better memory utilization across the entire system. 2. Approximating program localities (i.e., working sets) becomes more accurate with a smaller page size, as we're working with a finer page resolution."		
Describe 2 potential benefits of using a larger page size:	1. Using larger pages allows for fewer page table entries, and, thus, a smaller memory footprint for our page table(s). 2. A larger page size means larger reads and writes to disk. This is generally more efficient (over time) as data transfer time is a very small percentage of the total time needed for disk operations.		
For a given disk read operation, estimate the percentage of total time used for the actual data transfer:	Roughly 1%.		
Define the reach of a translation look-aside buffer (TLB):	"A TLB's reach is the total amount of (physical) memory that is directly accessible through the TLB cache."		
Give a formula for calculating the reach of the TLB:	The table size (i.e., number of entries) multiplied by the page (frame) size.		
Explain why the program stack exhibits good locality of reference:	Memory accesses within the stack are more likely to be near the top than elsewhere. The closer we get to the top of the stack (and its associated memory area), the more likely it is that the next stack reference will occur in that area.		
Why do hash tables normally produce poor locality of reference?	A hash table scatters its entries across an allocated region of memory. Entries have no ordering, so sequential access to memory does not normally occur within the hash table structure. Thus, frequent access to large hash tables may cause a high frequency of cache memory misses and/or page faults.		
"Explain how compilation can have an effect on a program's paging behavior:"	"The compiler (or loader) chooses where in a program's logical address space to place instructions for routines, etc. These tools can elect to place each routine so that it does not cross page boundaries, and, thus, do not trigger as many page-faults during exection."		
How might the loader improve the page-fault rate of a program?	"The loader can ""pack"" multiple routines into individual pages in such a way that related routines are placed in the same page, or neighboring pages. This can improve locality and reduce the page-fault rate of the program."		"This kind of ""packaging"" is an example of the bin-packing class of algorithms."
Explain why the program heap may exhibit poor locality of reference:	"A program allocates memory from the heap, using pointers (variables storing heap addresses) to track its allocations. Heap allocators are typically implemented with free-lists, in which successive heap allocations may not necessarily be contiguous in the heap's underlying physical memory. Hence, accesses to various objects in the heap may cause frequent cache misses and/or page faults."		
"What does it mean to ""lock"" a frame of memory?"	"""Locking"" a frame marks it as ""not eligible for eviction"" by the page-replacement algorithm. Pages mapped to the locked frame will remain resident in memory until the frame is unlocked. We can use a bit field in each frame table entry to indicate whether or not the frame is currently locked."		
"Give 2 examples of scenarios in which we'd want to lock frames of memory:"	"1. When we initiate an I/O device operation—passing the address of an I/O buffer—we'd want to lock the pages of the buffer until the device writes it data back. 2. We may choose to lock any page that is allocated for the kernel. Doing so simplifies the kernel design and improves kernel performance."		
Describe 2 strategies we can follow to prevent the pages of an I/O buffer from being repurposed (remapped) before its associated I/O operation completes:	"1. We could design our kernel to never have the I/O devices write directly to user-space memory. Instead, we'd pass the device the address of a buffer in kernel-space, and eventually copy the data from the kernel buffer into the process's space. 2. We could allow pages (and their underlying frames) to be ""locked"", making them as ineligible for replacement by the page-replacement algorithm. We can do so by including a ""lock bit"" in each entry of the frame table."		
Describe the clustering technique (used by some demand-paging scheme):	Instead of only reading in the requested page from the backing store, we also read in several neighboring pages. Clustering is a form of pre-paging.		The clustering technique was used in the design of Windows XP.
A magnetic disc storage device is built from one or more magnetic ________, each storing data.	platters		
On a magnetic disk, each platter is divided into many concentric ________.	tracks		
Each track on a magnetic disc platter is subdivided into many ________.	sectors		
A ________ is comprised of the set of tracks that are located at one arm position across the platters of a magnetic disc.	cylinder		
"Distinguish a storage device's seek time from its positioning time:"	The seek time and the positioning time both refer to the time needed to move the disc arm to the desired cylinder.		
"The time needed to rotate a desired sector to the disc head is known as the disc's ________."	rotational latency		
Most modern operating systems use ________ to communicate with a host controller.	memory-mapped I/O ports		
Distinguish a host controller from a disc controller:	"The host controller is directly connected to the computer, in that it's located at the computer's end of the bus. The disc controller is normally built into the disc drive, and so it sits at the device end of the bus."		
What mechanism do most disc controllers use to speed up operations?	Disc controllers typically have a built-in cache which sits between the host controller (i.e., data bus) and the physical disc storage (i.e., magnetic platters).		
What is a block?	A logical block is the smallest unit of transfer to and from a disc device.		A logical block is normally 512 bytes in size.
"Changing a disc's logical block size typically requires ________."	low-level formatting		
What is unique about disc devices that implement constant linear velocity (CLV)?	"These discs' outer tracks have a higher bit density than their inner tracks; thus, more data fits into the longer, outer tracks. The disc hardware increases the rotational speed as the read-write head moves closer to the center tracks, allowing the read/write speed to stay constant during operations."		
What is unique about disc devices that implement constant angular velocity (CAV)?	In these devices, the density of bits decreases as we move from the inner tracks to the outer tracks. This allows the disc to spin at a constant velocity regardless of where the read-write head is positioned, maintaining a constant read/write speed.		
What disc devices normally use constant linear velocity (CLV), and which normally use constant angular velocity (CAV)?	1. Constant linear velocity is normally used by CD-ROM and DVD-ROM drives. 2. Constant angular velocity is normally used by hard discs.		
List 2 common types of storage device attachment:	1. Host-attached storage (i.e., connected through local I/O ports). 2. Network-attached storage (i.e., connected by some distributed system).		
List 4 common I/O bus architectures:	1. IDE 2. SATA 3. SCSI 4. FC (fiber channel)		
Clients access network-attached storage through a ________ interface.	remote procedure call		
Operating systems use a ________ algorithm to choose which pending I/O request to service next.	disk-scheduling algorithm		
Explain why the first-come, first-served (FCFS) disk-scheduling algorithm typically exhibits poorer performance than other disk-scheduling algorithms:	"The FCFS algorithm is technically ""fair"", but it does not take into account the relative locations of the pending read and write operations on the disc; by ignoring this, the algorithm often leads to more disc latency than necessary for a given set of requests."		
Explain why the shortest-seek-time-first (SSTF) disk-scheduling algorithm may exhibit poor system-wide performance:	The SSTF algorithm does not prevent starvation of requests; a request that is far away from the current disc location may be delayed indefinitely by a stream of closeby requests.		
The SCAN disk-scheduling algorithm is sometimes called the ________ algorithm.	The elevator algorithm.		
Distinguish the C-SCAN disk-scheduling algorithm from the SCAN algorithm:	"The circular SCAN (C-SCAN) algorithm immediately jumps to the opposite end of the disc once it reaches one end, without scheduling a ""return trip""."		The C-SCAN algorithm essentially treats the disc positions as a circularly linked list, wrapping the last cylinder to the first.
How does the LOOK disk-scheduling algorithm differ in its behavior from SCAN?	On any given pass in either direction, a LOOK scheduler will only move the disk head to the further (most extreme) location in the request queue; once that final request is serviced, the scheduler immediately reverses the direction of the disc arm, repeating the process in the opposite direction.		
Names 6 different disk-scheduling algorithms:	"1. FCFS (first-come, first-served) 2. SSTF (shortest-seek-time-first) 3. SCAN (i.e., ""elevator"") 4. C-SCAN (circular SCAN) 5. LOOK (i.e., ""lazy elevator"") 6. C-LOOK (circular LOOK)"		
Which 2 disk-scheduling algorithms are typically chosen for general operating systems?	SSTF and LOOK		
Describe two system factors that can affect the performance of the disc-scheduling algorithm:	1. The file-allocation method (i.e., operating on contiguous vs. linked or indexed files). 2. The locations of the directories and index blocks on disc (these must be read in order to locate all parts of a file on disc).		
What is one advantage to implementing a disc-scheduling algorithm in the device controller hardware instead of the operating system?	"The operating system does not know the physical locations of logical blocks on disc; thus, the operating system can't schedule for improved rotational latency."		
What is one advantage to implementing a disc-scheduling algorithm in the operating system instead of in the device controller hardware?	The operating system may want to place certain constraints on order-of-service; for example, demand paging may take priority over application I/O, and writes are more urgent than reads if the cache is running out of free pages.		
Low-level disc formatting is sometimes called ________.	physical formatting		
Describe the anatomy of a block on disc:	A single block consists of: 1. A header segment 2. A data segment (usually 512 bytes). 3. A trailer segment.		
"What is the purpose of a block's header and trailer segments?"	The header and trailer hold metadata—such as a sector number and an error-correcting code (ECC)—which can be used by the disk controller.		
What happens during low-level formatting of a disk?	"The process fills the disk with a special data structure for each sector. The structure holds the sector's data as well as some metadata used by the disk controller. Logical blocks are mapped to these sectors on disk."		Low-level formatting is typically done at the disk manufacturing plant.
What is one benefit of using a larger sector size for low-level formatting?	A larger sector size means that fewer auxiliary (header and footer) segments need to be store on disk—allowing a larger percentage of the storage media to store data.		
What is one benefit of using a smaller sector size for low-level formatting?	A smaller sector size allows more sectors to fit on each track.		
Distinguish low-level disk formatting from logical disk formatting:	Low-level formatting populates the disk with a data structure for each sector. Logical formatting uses these sectors (addressed via logical blocks) to create a new file system on the disk; initial file system data structures can include maps of free and allocated space (i.e., a FAT, or inodes) and an initial empty directory.		
File systems sometimes group blocks on data into ________ to improve sequential-access characteristics of file system operations.	clusters		
Distinguish a block from a cluster:	A cluster is a logical grouping of contiguous blocks on disk. A file system can use clustering to increase sequential access and reduce random access.		
What benefit is there to using clustering when implementing a file system?	By grouping contiguous blocks into clusters, the file system can promote sequential access and reduce random access during file system operations.		
A disk that has a boot partition is called a ________.	A boot disk (or a system disk).		
The blocks on a disk partition that store the bootstrap program are known as the ________.	boot blocks.		
What is the master boot record (MBR)?	The location on disc where Windows stores its initial bootstrap code.		"Windows 2000 stored the master boot record within the disk's first sector."
Windows refers to the first sector of the hard disk as the ________.	master boot record (MBR).		"The master boot record holds the Windows operating system's initial bootstrapping code."
The master boot record may point to a ________ partition, which stores the operating system and device drivers.	boot partition		
What is the boot partition?	A disk partition that holds the code for the operating system and device drivers.		
The boot sector is the first sector on the ________.	The boot partition.		
The first sector of the boot partition is known as the ________.	boot sector		
Distinguish a soft disk error from a hard disk error:	Following a soft error (e.g., a block read), the damanaged data can be restored using an error-correcting mechanism (i.e., ECC). Hard errors are irrecoverable, however, and result in data loss.		
Explain one benefit to allocating and managing swap space through the file system:	The implementation will be relatively simple and quick, as the file system already supports basic operations needed to manage the swap space (create file, name it, allocate its space, etc).		
Explain one drawback to allocating and managing swap space through the file system:	"It's an inefficient strategy, as extra overhead is involved in using file system calls to manage a ""raw"" portion of the disk (as swap space)."		
How could we manage a swap space without using the file system layer?	"An operating system could use a separate swap space manager to allocate and manage a ""raw"" area of the disk. Using specialized algorithms, this approach can improve the speed of the operating system's page-swapping operations."		A fixed amount of swap space is allocated during disk partitioning.
Why might it be acceptable for a swap-space manager to allow some level of internal fragmentation of swap space?	The entire swap space is reinitialized on boot, so any resulting fragmentation will only last as long as the system is running.		
"How does Linux track the system's usage of swap space?"	Linux divides each swap area into 4kB page slots used to hold swapped pages. For each swap area, Linux allocates a swap map. The swap map holds an integer value for each page in the swap area. A zero value indicates that the page slot is available to take a page. A positive value indicates that the slot is currently occupied—it also serves to indicate the number of processes currently sharing that page.		
RAID stands for ________.	"""Redundant Array of Inexpensive Disks"" (or, more recently, ""Redundant Array of Indendent Disks"")"		
For mass disk storage, reliability is often achieved through ________.	redundancy		
What is mirroring?	A storage reliability technique that involves duplicating each logical disk on two or more physical disks; every write to the logical disk is carried out to all physical disks.		
The estimated time that passes before a disk experiences a failure is known as the ________.	mean time to failure		
The time that it takes on average to replace a failed disk and restore its data is referred to as the ________.	mean time to repair		
What are 2 strategies for preventing data loss in RAID storage during a power failure?	1. Always write blocks to the second disk only after the write to the first completes. 2. Integrate a non-volatile RAM (NVRAM) cache into the RAID array (assuming the cache supports error protection and/or correction, such as ECC or mirroring).		
What is data striping?	Storing equal portions of some data set across several storage devices, such that a complete copy can be constructed by reading the portions stored on each device.		
When data striping is implemented on a per-byte level of granularity, the approach is known as ________.	Bit-level striping		
What is bit-level striping?	A variant of data striping in which the bits of each byte (of some region of data) are distributed across several disks (one disk for each bit of the byte).		
What is block-level striping?	A data striping scheme in which the individual blocks of a file are striped across several disks.		With n disks, block i of a file goes to disk [$](i \mod n) + 1[/$].
List 2 types of data striping used in storage systems:	1. Bit-level striping. 2. Block-level striping.		
What is the most common data-striping scheme (for storing files)?	block-level striping		
Data striping across multiple disks achieves ________ for read and write operations.	parallelism		
Describe 2 storage benefits that can be realized with data-striping:	1. Increased throughput for (multiple) small accesses (achieved w/ load-balancing). 2. Reduced response time for large accesses.		
A given RAID scheme can be classified into one of several ________.	RAID levels		
What is a parity bit?	A parity bit is a separate bit that is allocated for each byte in a memory system.		
How are parity bits used in a memory system?	Parity bits can be used to detect single-bit errors in a given byte that is stored. The memory system can read the entire byte and check it against the parity bit—if one does not reflect the other, then an error has occurred.		Note that the single-bit error may be in the parity bit itself—either way, an error is detected.
Describe the semantics that determine the value of a parity bit:	The parity bit is meant to indicate the number of bits in the associated byte that are set. An unset parity bit indicates an even number of set bits; otherwise, it indicates an odd number of set bits.		
Can a parity bit be used to correct errors?	No. It can detect single-bit errors, but more error-correcting bits must be used in order for the memory system to determine the position of the erroneous bit.		
Explain the concept of bit-interleaved parity:	This organizational scheme involves striping the bits of each byte across several storage disks and using a final disk to store the parity of that byte. If, during an operation, a given disk detects a bad sector read, the remaining bits and be used in conjunction with the parity bit to determine the correct value of the misread bit.		This scheme is used by RAID Level 3 storage.
Why is it normally not possible to perform small writes (sharing the same locality) in parallel?	The operating system scheduling write operations for a block storage device must perform writes at the block level; the entire block must be read into main memory, modified, and then written back out to the device.		
What is the read-modify-write cycle?	The cycle conducted by an operating system in order to change data on a block storage device. The targeted block must be read into main memory, modified, and then written back to the device (block-level granularity).		"The storage system may also need to update a second block (parity block) to reflect the targeted block's new contents following the write."
Why must a storage system using block-interleaved parity write to more than one block during a write?	If an operation writes to a single data block, the corresponding parity block must also be updated (written) by the storage system.		This occurs in storage systems using RAID Level 4.
What is block-interleaved parity?	A storage scheme in which some number of data blocks are striped to an equal number of disks. A final disk is used to maintain associated parity blocks, which the system can use to detect and fix bad sector reads on any of the other disks.		This strategy is followed by systems using RAID Level 4.
Distinguish block-interleaved distributed parity from block-interleaved parity:	"In the distributed parity scheme, data and parity information are spread across all of the disks. For each logical block, N disks stores its data while one stores its parity. The disk that is responsible for storing the parity of a given logical block can be determined by that block's logical index."		For example, the parity of the nth logical block is stored in disk [$](n \mod 5) + 1[/$]. The distributed scheme is used in RAID Level 5.
Reed-Solomon codes are one example of ________ codes.	error-correcting		
Describe the RAID Level 0 storage scheme:	Block-level striping of data is done across some number of disks (e.g., 4 disks). No mechanisms are put in place for redundancy or error correction.		
How does RAID Level 1 improve on Level 0?	Level 1 introduces redundancy by mirroring each striping disk with its own copy.		For example, a RAID Level 1 system using 8 disks for data-striping would require another 8 disks for data mirroring.
What is the minimum RAID level that implements redundancy?	Level 1		This level introduces mirroring.
How does RAID Level 2 improve on Level 1?	Level 2 replaces the disk mirroring with disks that store error-correcting party bits. Level 2 reduces storage costs, as 4 disks of data can be made reliable using 3 error-correcting parity disks (instead of the 4 disks required for mirroring).		
How does RAID Level 3 improve on Level 2?	"Level 3 makes use of the fact that, for a given disk, the disk controller can detect a bad sector read. Level 3 organizes disks according to a bit-interleaving parity scheme: one bit from each byte is written to an associated disk, while an additional disk is used to store the parity bit for that byte (a total of N+1 disks). If a bad sector read occurs, we can use the other disk's bits together with the parity bit to determine the correct values of the misread bit."		Because Level 3 requires only one parity disk to be present in the system, it is less expensive than Level 2. Thus, Level 2 is not used in practice.
Why is RAID Level 3 generally faster than Levels 0 and 1?	With Level 3, a single byte of data is distributed across N disks. A read or write can activate all disks in parallel, performing the operation in 1/N-th the time required by Levels 0 and 1.		
What is one performance drawback to RAID Level 3 compared to Levels 0 and 1?	Level 3 (as well as Level 2) requires us to compute and update the parity information of each byte written. This overhead can result in significantly slower writes.		RAID storage arrays somtimes include a hardware controller with dedicated parity hardware, offloading the computation from the CPU.
What is the primary difference between RAID Level 3 and Level 4?	RAID Level 3 uses bit-level striping of data while Level 4 uses block-level striping. In a Level 3 system, the bits of each bytes are striped across N disks; in a Level 4 system, the blocks of each file are striped across N disks. Both schemes use an extra disk to store parity information.		
Explain the tradeoffs in latency between RAID Level 3 and Level 4:	In a Level 3 system, the bits of each byte can be read in parallel from multiple disks, providing a high data-transfer rate. In a Level 4 system, a block read only requires access to 1 disk, allowing multiple block reads to run in parallel. This results in a higher overall I/O rate with Level 4 for larger reads; since the parity blocks are also written in parallel, larger writes also have high I/O rates.		
How does RAID Level 5 improve on Level 4?	Level 5 distributes parity information across all disks; instead of allocating 1 disk to store all parity blocks, Level 5 stripes the parity blocks across the same disks that are storing data.		Note that a given disk cannot store the parity block for any data blocks on that disk. To be reliable, parity information must be stored on a different disk.
How does RAID Level 6 improve on Level 5?	Level 6 replaces parity information (i.e., parity blocks) with bit-fields capable of detecting and correcting errors in the event that 2 disks both fail. These bit-fields are often referred to as error-correcting codes. These codes require more bits to be allocated than just a single parity bit.		Reed-Solomon codes are an example of error-correcting codes.
When data is striped across multiple disks and those disks are then mirrored, the system is said to be following which RAID level?	RAID Level 0 + 1		
List 4 places in the computing stack where RAID could be implemented:	1. Kernel (software) 2. Host bus-adapter (HBA) hardware 3. Storage array hardware 4. A SAN interconnect layer (by disk virtualization devices)		
What is replication?	The automatic duplication of writes between separate storage sites, for redundancy and disaster recovery.		
The automatic duplication of writes between separate storage sites is known as ________.	replication		
A disk that is designed to be used as a backup (in the event that another disk fails) is called a ________.	hot spare (disk)		
What is a hot spare (disk)?	A disk that is designed to be used as a backup (in the event that another disk fails).		
What is the defining characteristic (requirement) of stable storage?	It must never lose data, in any event.		
Stable storage is often implemented by using ________.	replication (across multiple disks)		
A disk write can result in one of these outcomes:	1. Successful completion (correct write). 2. Partial failure (some sectors written, and perhaps corrupted). 3. Total failure (original data is intact).		
Give a simple write protocol, using two disks, that approaches stable storage:	1. Write the data to the first physical disk. 2. Write the same data to the second physical disk, following the first write. 3. After the second write completes (if it completes), declare the operation a success.		
"Storage arrays often include ________ to speed up a host's data transfers."	an NVRAM cache		
How can we protect the data in an NVRAM cache (inside a storage array) from a power outage event?	Provide the cache with a battery for backup power.		
Describe the Kerr effect:	"When shining a laser at a magnetized spot (i.e., on a magnetic platter), the orientation of the spot's magnetic field will determine the polarization (clockwise or counter-clockwise) of the reflected laser beam."		
