What is a Computer Program?,A computer program is a set of instructions that we want a computer to perform.
count-distinct,Counting the number of unique items in a stream that may contain duplicate itmes. ie: the cardinality of a multiset
The idea of LSH is ___________.,the opposite of traditional hashing
You can use a single hash function to ___________ in a computer.,"maintain an unordered set of objects Because if you were to store items sequentially in a list, and if you want to determine if a specific item is already in the list, you need to potentially check every item in the lis"
What is the best metaphor for load balancing?,"balls and bins m balls n bins in which to put the balls you want to put the balls into the bins. twist: an adversary is throwing balls at you, and you have to put them into the bins before the next ball comes, so you don’t have time to remember (or count) how many balls are in each bin already."
"Structurally, the difference between Proxy and State is simple:",Proxy has only 1 implementation State has > 1
What is a pipeline?,A properly designed pipeline: - takes well-defined inputs - produces well-defined outputs - or it halts somewhere and indicates exactly what failed.
"Functionality is an asset, but ______ is a liability.","Functionality is an asset, but code is a liability."
“wishful thinking” approach to problem decomposition,"When faced with an unsolved part of the problem: 1. name and specify a routine that would solve it 2. use that hypothetical routine, 3. come back later to implement it eg: outlining before writing a paper"
Small Matter of Programming (SMOP),"A phrase used to ironically indicate that a suggested feature or design change would in fact require a great deal of effort it often implies that the person proposing the feature underestimates its cost. eg: ""It is just a button"""
What are the 2 arguments for reduce?,"reduce(Function, Sequence) Function: cat, add, multiple Sequence: list, string"
What does filter do?,"Extracts each element in the sequence for which the function returns True filter(lambda x: x % 2 == 0, fib) [0, 2, 8, 34]"
What does reduce do?,Returns a single value by combining elements of sequence via a supplied function.
Dijkstra's famous quote on bug:,"'Testing shows the presence, not the absence of bugs'"
Dijkstra about Computer Science,Computer Science is no more about computers than astronomy is about telescopes.
Dijkstra on AI,The question of whether a computer can think is no more interesting than the question of whether a submarine can swim.
Dijkstra on Simplicity,Simplicity is prerequisite for reliability.
What is the classic example for backtracking?,"8 queens puzzle, that asks for all arrangements of eight chess queens on a standard chessboard so that no queen attacks any other. The partial candidates are arrangements of k queens in the first k rows of the board, all in different rows and columns. Any partial solution that contains two mutually attacking queens can be abandoned."
Non-volatile random-access memory (NVRAM),Random-access memory that retains its information when power is turned off (non-volatile)
Dynamic random-access memory (DRAM),a type of random-access memory that stores each bit of data in a separate capacitor within an integrated circuit. only holds data while there is currrent
Search,"trying to find a solution, but you don't have a linear path of steps that is guaranteed to find the solution. computing a square root is not search, because there is an algorithm that computes the answer with the same steps every time"
Everything will have a ___________ type.,"clear, semantically relevant No more NullPointerException or casting!"
Use ______ to describe problem domain.,abstract data types
Put all logic into ______.,functions Everything becomes Input => Output
Programs are made of nouns and verbs,"A noun is data eg: Message, DataFrame, List, Tree, etc. A verb is an action eg: toString, toInt, readFile, etc."
filter,"Remove if predicate is true. List(“team”, “coffee”, “function”) .filter { x => x.contains(“fun”) } // List(“function”)"
foldLeft,"Accumulationg a value from a list (lei -> right) • Give me an initial B • A function from (B, A) => B • And I will give you a List[A] => B"
What do you do if something doesn’t quack like a duck at runtime?,1. Die 2. Manually add error checking and handle this problem
CPUs designed for _____________.,"sequential, complex tasks"
GPUs designed for ____________.,"parallel, low level tasks"
Which algorithms for good for GPU Acceleration?,- Inherently parallel - Matrix operations - High FLoat-point Operations Per Sec (FLOPS)
CPU vs GPU Architecture:,
How do you solve the Stable marriage problem?,SMP is problem of finding a stable matching between two equally sized sets of elements given an ordering of preferences for each element Gale–Shapley algorithm
What many bytes are in 1 KB?,1024 bytes
How many KB are in 1 MB?,1024 KB
How many MB are in 1 GB?,1024 MB
Makefiles,help you to automagically build and manage your projects
"What is the followup to ""Hello, world!""?",Goodnight Moon
binary addition rules,
what is a bus?,a path for electrical signal
What are the 3 actions for all computer programs?,"1. Fetches from memory the next instruction in the program to be executed 2. Decodes the instruction in order to ﬁgure out what is to be done next, 3. Executes it by issuing the appropriate command to the ALU, memory, and I/O controllers."
"To work with real numbers on a computer, we ___________.",typically approximate them to 16 digits by finite bit strings
What is the best story for quicksort?,"You walk into a gymnasium containing 200 children. It is September 8th, so you have a burning desire to find the 98th shortest child. You know that you could line them all up from shortest to tallest, but that would take forever. “I know”, you think, “I could use QUICKSELECT!” You walk out into the crowd, close your eyes, stick out your finger, and spin around three times. When you open your eyes, you are pointing directly at one of the children, Peter Pivot. You say, “Quickly! Everybody shorter than Peter, come stand over here. And everybody taller than Peter, go stand over there. If you're the same height as Peter, you can go into either group.” The children shuffle around, and soon they are standing in the two groups. You count and find 120 children in the shorter group, and 79 children in the taller group. You know the 98th shortest child must be in the shorter group, so you tell Peter and the 79 taller children to sit in the bleachers. You again close your eyes, stick out your finger, and spin around three times. When you open your eyes, you are pointing directly at Peter's sister, Paula Pivot. You say, “Quickly! Those of you who are still standing. If you're shorter than Paula, come stand over here. If you're taller than Paula, go stand over there. If you're the same height, you can go into either group.” The children shuffle around, and soon they are standing in the two groups. You count and find 59 children in the shorter group, and 60 children in the taller group. You know the 98th shortest child must be in the taller group, so you tell Paula and the 59 shorter children to sit in the bleachers. You again close your eyes, stick out your finger, and spin around three times. When you open your eyes, you are pointing directly at Paula's cousin, Prudence Pivot. You say, “Quickly! Those of you who are still standing. If you're shorter than Prudence, come stand over here. If you're taller than Prudence, go stand over there. If you're the same height, you can go into either group.” The children shuffle around, and soon they are standing in the two groups. You count and find 37 children in the shorter group, and 22 children in the taller group. You know that Paula and 59 other shorter children are sitting on the bleachers. Along with the 37 shorter children still standing, you know that a total of 97 children are shorter than Prudence. Therefore, Prudence is the 98th shortest child!"
Red black tree,A standard binary tree that will re-balance the tree every time you insert or delete a node.
kata,"A programming exercise which helps a programmer hone their skills through practice and repetition. simple, artificial exercises which let us experiment and learn without the pressure of a production environment. Japanese concept of kata in the martial arts"
"Python is an object, similar to how almost everything in Unix is a ____.",file simple streams of bytes exposed through the filesystem name space
What is a coroutine?,"A separate thread of execution that can run sequentially interleaved, but not in parallel with its caller"
A problem is P if ________,we can solve it efficiently.
A problem is NP if __________.,we can efficiently check for its solution
"NP is not the hardest class of problems in computer science, but ________","the hardest ""realistic"" class. Humans are good at solving NP problems apporximately."
What is a NOR gate?,A logic switch whose output is 1 if inputs are both 0
A NOR gate is just a _________.,"A OR gate followed by a NOT gate, aka the negation of a disjunction"
Kolmogorov complexity,"“an object is as complex as the time it takes to describe it” the string x=“2398383029221″ is more complex than the string y=“0000000000000″, because the y is described as “13 zeros”."
A nanosecond (ns or nsec) is,one billionth (10-9) of a second A common measurement of read or write access time to random access memory (RAM).
A microsecond (us or Greek letter mu plus s) is,one millionth (10-6) of a second.
"Generators also become coroutines, a more generalized form of subroutines. Subroutines are entered at one point and exited at another point (the top of the function, and a return statement), but coroutines can be _________________.","entered, exited, and resumed at many different points (the yield statements)"
"Like a subroutine, a coroutine computes a single step of a complex computation. However, when using coroutines, there is ______________",no main function to coordinate results. Instead coroutines themselves link together to form a pipeline.
What is the downside of the von Neumann architecture?,"close coupling of semantics to state transitions, division of programming into a world of expressions and a world of statements lack of useful mathematic properties for reasoning about programs"
You can build anything out of _______.,binary neurons
What are NAND gates?,aka binary neurons
What are the steps in Probabilistic Programming?,1. Declare your prior beliefs about what the data looks like. 2. Feed in your data. 3. A sampling algorithm will return a posterior distribution for each of the parameters in your model.
What are the difference between CPUs and GPUs?,"Graphics Processing Units were created to draw images, text, and geometry onto the screen, thus very specialized. CPUs need to be good at following very complex recipes of instructions so they can deal with all sorts of user inputs and switch between tasks rapidly."
Names should communicate _______ so the reader doesn't have to try to figure it out.,the coder's intent
Refactor this bad variable name: hostList,hosts
Refactor this bad variable name: hostSet,validHosts
Refactor this bad variable name: hostInputStream,rawHostData
Refactor this bad variable name: hostStr,hostText
Refactor this generic variable name: hostString,hostJson
Refactor this bad variable name: valueString,firstName
Refactor this bad variable name: intPort,portNumber
What is Teutonic naming?,be as specific as possible without being incorrect. eg: tcpPortNumber
One-time variables (OTVs),"aka, garbage avoid or replace with _"
What is the difference between simple and easy in programming?,Simple: a line of code that does something very small and specific. Easy: a line of code that does a lot by calling a framework function causing thousands of lines of code to be executed.
What is referential transparency?,where you can safely replace an expression with its value
What is a kernel in Computer Science?,Device-specific implementations of operations
Why async powerful?,
What is the similarities and differences between sets and strings?,Both are collections of symbols / objects Sets are unordered. Strings are ordered.
What algorithm algorithm produces a Voronoi tessellation in a space of arbitrary dimensions?,"Lloyd's algorithm It repeatedly finds the centroid of each set in the partition, and then re-partitions the input according to which of these centroids is closest Closely related k-means clustering algorithm"
What is the similarity and differences between Lloyd's algorithm and k means clustering?,"They both repeatedly finds the centroid of each set in the partition, and then re-partitions the input according to which of these centroids is closest. Lloyd's algorithm differs from k-means clustering in that its input is a continuous geometric region rather than a discrete set of points."
What is Fermat–Weber problem?,Solves the geometric median The problem of finding a point minimizing the sum of distances from given points
What does “efficiently” mean in practical terms? What does “efficiently” mean in theoretical terms?,Practical: Can solve real-world problems in a reasonable amount of time Theoretical: Can solve problems in time that depends only polynomially on the problem size
List 4 use casess for groupby:,1. Grouping records in reports 2. Listing the unique keys in a database 3. Counting the number of keys in each group 4. Finding records with duplicate keys
What is a Bunch?,"Bunch is a dictionary that supports attribute-style access, a la JavaScript."
What is pipeline-style approach?,"Allows an object to be passed along from function to function, with a different operation performed at each step."
"Write a visual representation of: reduce(f, (a, b, c, d))","acc iter (a, b, c, d) a (b, c, d) f(a, b) (c, d) f(f(a, b), c) (d) f(f(f(a, b), c), d) return acc"
What is partial application?,"Think of partial application as lazy function calling, where lazy just means “don’t evaluate this until you need to”"
The first 90 percent of the code accounts for the first 90 percent of the development time. The remaining ...,"10 percent of the code accounts for the other 90 percent of the development time. — Tom Cargill, Bell Labs"
"In general, the syntax for instantiating an object is to invoke the _________.",constructor of a class
Mersenne twister,"A pseudorandom number generator (PRNG) most widely used general-purpose PRNG based on the period of Mersenne prime (one less than a power of two, 2, 3, 5, 7, 13, 17, 19, 31, 67, 127, 257)"
"An ADT specifies ______ each operation does, but not _____ it does it.","An ADT specifies what each operation does, but not how it does it."
A realized ABC (abstract base class),concrete class
What does ~ do?,"In general, ~n = -n - 1 In 16 bits 1 is represented as 0000 0000 0000 0001 Inverted, you get 1111 1111 1111 1110, which is -2. Similarly, 15 is 0000 0000 0000 1111. Inverted, you get 1111 1111 1111 0000, which is -16."
Method of complements,"A technique used to subtract one number from another using only addition of positive numbers. It is used on most digital computers to perform subtraction, represent negative numbers in base 2 or binary arithmetic and test underflow and overflow in calculation."
What is a data structure?,a systematic way of organizing and accessing data
Name the 2 reasons log base 2 popular in CS:,"1. Computers use binary circuits, 0 or 1 2. common algorithm operations repeatedly divide an input in half"
"The linear function also represents the best running time we can hope to achieve for any algorithm that processes each of n objects that are not already in the computer’s memory, because _________.",reading in the n objects already requires n operations
"The runtime of nested loops, where the inner loop performs a linear number of operations and the outer loop is performed a linear number of times",quadratic
Balanced ternary arithmetic,"a variation of Base-3 notation in which each digit can be expressed as either a negative one, a zero or a positive one (in contrast to 0, 1, 2 in unbalanced ternary system) written as –, 0 and + most computers are binary quantum computers will have to ternary"
carry-lookahead adder (CLA),a type of adder used in digital logic faster than ripple-method (standard paper and pencil method) predict carry (instead of waiting for carry)
"map is a higher order function, takes in a ______ as data.",function
Fuzzing,Creating malformed data and sending it to an application in an attempt to cause faults one of the most effective techniques for finding bugs can also find security vulnerabilities
What is the best heuristic for the optimizing stopping problem?,Spend 37% (1/e) of time or number items just looking with no decision. Then go with the best candidate you see.
What is a practical application of BFS?,a web crawler
B+,"An n-ary tree with a variable but often large number of children per node. A B+ tree consists of a root, internal nodes and leaves. The primary value of a B+ tree is in storing data for efficient retrieval in a block-oriented storage context — in particular, filesystems. Has very high fanout"
broadworld computing,"The idea of creating algorithms which are parallel at the bit level the art of dealing with n-bit words where n is a parameter that is not extremely small. eg: bitmaps, data structures and branchless computation"
When are bit mask used?,"to access specific bits in a byte of data. useful as a method of iteration, for example when sending a byte of data serially out a single pin. In this example the pin needs to change it's state from high to low for each bit in the byte to be transmitted."
How do bit mask work?,"defines which bits you want to keep, and which bits you want to clear Bitwise ANDing in order to extract a subset of the bits in the value Bitwise ORing in order to set a subset of the bits in the value Bitwise XORing in order to toggle a subset of the bits in the value Mask: 00001111b Value: 01010101b Result: 00000101b"
Name 2 reasons that data structures help you,"1. Manage complexity and make your programs easier to follow. 2. Build highly-performant, memory-efficient programs."
What are algorithms?,step-by-step sets of operations to achieve an outcome
How should feel about each Big O level?,
How can you imagine memory?,Values: |1001|0110|1000|0100|0101|1010|0010|0001|1101|1011... Addresses: 0 1 2 3 4 5 6 7 8 9 ...
What does error detection and correction do?,detecting errors due to channel noise
Finger tree,A purely functional data structure used in implemting other functional data structures Fingers which represent prefix and suffix segments of the tree.
value object,an immutable object follow value semantics rather than reference semantics good for currency don't update - make new one
short circuiting,"The boolean operators “and” and “or” are short circuiting. That is, when we evaluate the expression “x and y” we first evaluate x. If x evaluates to FALSE, then the entire expression cannot evaluate to TRUE, and so we do not evaluate y. If, on the other hand, x evaluates to TRUE, we must evaluate y to determine the value of the entire expression. Similarly, in the expression “x or y” we evaluate the expression y only if x evaluates to FALSE. Short-circuiting operators allow us to write boolean expressions such as “x ≠ NIL and x.f = y” without worrying about what happens when we try to evaluate x.f when x is NIL"
hypervisor,"a piece of computer that creates and runs virtual machines A computer on which a hypervisor runs one or more virtual machines is called a host machine, and each virtual machine is called a guest machine."
"Suppose you have n serial ports, each of which may speak one of k protocols, and this must be configurable at run-time.",Use an n-by-k array of closures to represent it
SLAM,Simultaneous localization and mapping Computer vision constructing or updating a map of an unknown environment while simultaneously keeping track of an agent's location within it.
How does Dynamic Programming calculate the current cell value?,It is the max of: 1. The previous max (value at cell[i-1][j]) 2. The value of the current item + the value of the remaining space (value at cell [i-1][j-item's weight)
What is the key data structure for Dynamic Programming?,A table with rows of items (sorted by value) and columns with sizes of sub knapsacks:
When does Dynamic Programming help with the Knapsack problem?,You need to optimize for size with descrete items of different values
“triangle inequality” that says adding an extra stop to a route __________,never makes it shorter
How does the Christofides algorithm work?,"1. Start with all our destinations separate, and repeatedly connect together the closest two that aren’t yet connected. This doesn’t yet give us an itinerary, but it does connect all the destinations via a minimum spanning tree of the graph. 2. Take all the destinations that have an odd number of connections in this tree, and carefully pair them up. 3. Because all the destinations now have an even number of edges, we’ve created an Eulerian graph, so we create a route that crosses each edge exactly once. 4. Now have a great route, but it might visit some places more than once. No problem, we find any double visits and simply bypass them, going directly from the predecessor to the successor."
Why is binary search fast?,it assumes a sorted array fundamental design pattern: sort 1st then apply a simple algorithm
Reference model,Domain-specific ontology consisting of an interlinked set of clearly defined concepts produced by an expert or body of experts in order to encourage clear communication.
"What is the difference between On-Premises, IaaS, PaaS, SaaS?",
What is the difference between Gram Scan and Andrew's monotone chain for convex hull algorithm?,"They both sorting the points lexicographically (first by x-coordinate, and in case of a tie, by y-coordinate) Andrew's monotone chain constructs upper and lower hulls of the points:"
What is machine language?,The complete list of things a computer can do
What is assembly language?,The complete list things a computer can do but with slightly more programmer-friendly names machine langauge - 11001101 assembly language - add
What does a complier do?,Translates programs in a higher-level language into the simple minded language hardware understands
What is the difference between a mathematical and engineering solution to a problem?,"A mathematical solution is complete, perfect and provable. An engineering solution works pretty well most of the time. It gets the job done."
"If 1 cpu cycle is 1 second, how much longer are other computer functions?",
What is a metaphor for computer caches?,"A desk with paper work You have a desk (the L1 data cache). On your desk are the files (cache lines) you’re working on right now, and some other files you recently pulled and are either done with or expect to be looking at again. Working with a file generally means looking at the individual pages it contains (corresponding to bytes in a cache line). But unless they’re on your desk, files are just treated as a unit. You always grab whole files at a time, even if there’s only one page in them that you actually care about right now. Also in the office is a filing cabinet (L2 cache). That cabinet contains files you’ve handled recently, but aren’t using right now. When you’re done with what’s on your desk, most of these files will go back into that filing cabinet. Grabbing something from the cabinet isn’t immediate – you need to walk up there, open the right drawer and thumb through a few index cards to find the right file – but it’s still pretty quick."
Taco Bell Programming,"Taco Bell only uses a handful of ingredients to make a billion dollar company Build a project with the standard, tried-and-true Unix tools Skip the latest-and-greatest buzzword tool or library"
Von Neumann bottleneck,"The shared bus between the program memory and data memory Because the single bus can only access one of the two classes of memory at a time, throughput is lower than the rate at which the CPU can work. This seriously limits the effective processing speed when the CPU is required to perform minimal processing on large amounts of data"
Quine,a non-empty computer program which takes no input and produces a copy of its own source code as its only output aka self-replicating programs
Gale–Shapley algorithm,"In the first round, first a) each unengaged man proposes to the woman he prefers most, and then b) each woman replies ""maybe"" to her suitor she most prefers and ""no"" to all other suitors. She is then provisionally ""engaged"" to the suitor she most prefers so far, and that suitor is likewise provisionally engaged to her. In each subsequent round, first a) each unengaged man proposes to the most-preferred woman to whom he has not yet proposed (regardless of whether the woman is already engaged), and then b) each woman replies ""maybe"" if she is currently not engaged or if she prefers this guy over her current provisional partner (in this case, she rejects her current provisional partner who becomes unengaged). The provisional nature of engagements preserves the right of an already-engaged woman to ""trade up"" (and, in the process, to ""jilt"" her until-then partner). This process is repeated until everyone is engaged."
a computer should never,"ask the user for any information that it can autodetect, copy, or deduce Eric Raymond"
Skyline operator,"used in a query and performs a filtering of results from a database so that it keeps only those objects that are not worse than any other eg: selecting a hotel for a holiday The user wants the hotel to be both cheap and close to the beach. However, hotels that are close to the beach may also be expensive. In this case, the Skyline operator would only present those hotels that are not worse than any other hotel in both price and distance to the beach."
zero-copy,"Computer operations in which the CPU does not perform the task of copying data from one memory area to another Performance is enhanced by allowing the CPU to move on to other tasks while data copies proceed in parallel in another part of the machine As an example, reading a file and then sending it over a network the traditional way requires two data copies and two context switches per read/write cycle. One of those data copies use the CPU. Sending the same file via zero copy reduces the context switches to two and eliminates all CPU data copies"
What is a predicate?,A function that returns true for an outcome that is in the event
Endianness,The order of the bytes that compose a digital word in computer memory
All you need to know about memory is that it's________,one large array
Big Endian,"32 bit quantity, written as 90AB12CD you store the most significant byte in the smallest address:"
Little Endian,"store the least significant byte in the smallest address 32 bit quantity, written as 90AB12CD"
A pointer,a number that references a memory location
Draw a conceptual diagram for functions,
logical and,Both operands True for result to be True
logical or,One or the other operand is True for the result to be True
algorithm,a set of instructions for accomplishing a task
"For logn search, what is the most elements you need check if you have 8 numbers?",3
"For logn search, what is the most elements you need check if you have 1,024 numbers?",10
What is an array?,a row of consecutive buckets anything can go into the bucket
"Suppose you have a sorted list of 128 names, and you’re searching through it using binary search. What’s the maximum number of steps it would take?",7 2^7 = 128
"By the time a computer language gets into software engineering shape,...",it has become obsolete in needed expressiveness Python -> Scala & Go
The best languages of an era should _______,"serve as the ""assembly code"" for the next generation."
How has the impact of More's Law changed?,It used to mean computer's doubled in speed every 2 years. Now it means that cost of compute is halved every 2 years. It will mean ubiquitous computing.
Mathematical induction,1. Base case: algorithm works for the base case 2. Indcutive step: algorithm works for a larger but directly related case Like dominoes
What are the 2 general requirements for a hash function?,1. Consistent - same string gets the same number 2. Map different words to different numbers
functor,"a type of mapping between categories homomorphisms between categories def remove_characters(chars): """"""A functor/closure to remove characters in chars from a string"""""" def remover(string): ""Actually remove characters from string"" return ''.join(c for c in string if c not in chars) return remover # First functor remove_punctuations = remove_characters(',;:.?!') s = 'Please, remove punctuations from this string!?' print(remove_punctuations(s))"
doxxing,search for and publish private or identifying information about a particular individual on the Internet typically with malicious intent for example phone numbers or addresses
Leaky abstraction,"An abstraction that exposes details and limitations of its underlying implementation to its users (should ideally be hidden away). Example - Iterating over a large two-dimensional array can have radically different performance if done horizontally rather than vertically, depending on the order in which elements are stored in memory. One direction may vastly increase cache misses and page faults, both of which greatly delay access to memory."
What is Plain English definition of abstraction?,"Selective ignorance concentrating on the ideas that are relevant o the task at hand, and ignoring everything else The most important idea in modern programming"
Fully Homomorphic Encryption,encryption with the ability to compute on it
What is the mathmatical definition of Fully Homomorphic Encryption?,
What do all computer programs do?,"Fetch, decode, and execute"
Unix design principle: Everything is a ________,file eg: The keyboard is a read-only file
Data-flow analysis,"The possible set of values calculated at various points in a computer program. A simple way to perform data-flow analysis of programs is to set up data-flow equations for each node of the control flow graph and solve them by repeatedly calculating the output from the input locally at each node until the whole system stabilizes, eg: used by compilers when optimizing a program"
What is a good metaphor for abstraction?,“the plumbing” and “the porcelain” the procelain is what you seee the plumbing is what does the work you don't need to understand the pipes to take a poop you’d better be a plumber to know how to work the porcelain
Gather-scatter,a type of memory addressing that often arises when addressing vectors in sparse linear algebra operations
What can help with convergence of fixed-point searches?,average damping
What is average damping?,Approach of averaging successive approximations to a solution
0 Day vulnerabilities,a hole in software that is unknown to the vendor. This security hole is then exploited by hackers before the vendor becomes aware and hurries to fix it—this exploit is called a zero day attack.
"Hexadecimal uses the standard base 10 numerals, but adds ___________",A B C D E F which refer to 10 11 12 13 14 15 Demical / Hexademcial 0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 a 11 b 12 c 13 d 14 e 15 f 16 10 17 11 18 12 19 13
Why would use hexidemcical?,It is nice bridge between binary/bytes and decimal
cpu is ________ optimizted for ________ processing,cpu is latency optimizted fast serial processing
GPUs are optimized for ______ which enables ________ processing.,"GPUs are optimized for throughout which enables fast parallel, processing."
What the 4 things in data modeling 101?,1. Entity - discrete thing in the real world 2. Attribute - information about an entity 3. Fact - level of atttribute 4. Events - thing that happens in the real world
Pseudocode is like the,blueprints without any of the details.
opcode,"operation code the portion of a machine language instruction that specifies the operation to be performed Also, specify the data they will process, in the form of operands"
semantic versioning,"MAJOR.MINOR.PATCH MAJOR version increments when we make incompatible API changes, MINOR version when we add functionality in a backwards-compatible manner, and PATCH version when we make backwards-compatible bug fixes. aka, SemVer"
data structure alignment,"way data is arranged and accessed in computer memory 2 issues: 1. data alignment 2. data structure padding A modern computer reads from or writes to a memory address, it will do this in word sized chunks (e.g. 4 byte chunks on a 32-bit system)"
ASIC,"an integrated circuit (IC) customized for a particular use, rather than intended for general-purpose use eg: Bitcoin miner or Deep Learning"
FLOPS,floating point operations per second a measure of computer performance useful in fields of scientific computations that require floating-point calculations
Each position of the hash table is often called _____,a slot
hash function,The mapping between an item and the slot where that item belongs in the hash table hash(item) % len(hash_table)
load factor,λ = 6/11
What is another word for collision?,"a “clash"""
perfect hash function,"Given a collection of items, a hash function that maps each item into a unique slot"
folding method for constructing hash functions,"1. Divide the item into equal-size pieces (the last piece may not be of equal size). 2. These pieces are then added together to give the resulting hash value given: 436-555-4601 divide into groups of 2: (43,65,55,46,01) add = 43+65+55+46+0143+65+55+46+01 = 210 210 % 11 = 1, slot with index 1"
mid-square method for hashing,"1. square item 2. take middle digits for hash function given: 44 squared: 44^2=1,936 93 are the middle digits 93 % 11 = 5, slot with 5th index"
open addressing,resolve hash collisions by starting at the original hash value position and then move in a sequential manner through the slots until we encounter the first slot that is empty
linear probing,resolve hash collision by systematically visiting each slot one at time until you find an open slot open addressing is one example
True or False .1 + .2 != .3,Computers can only store integers. Floating point math is broken in all computer languages
"If L1 Cache is a sandwich in front of you, What is L2 Cache? What is RAM? What is Hard Drive?","L2 Cache - Walk to the kitchen and make a sandwich RAM - Drive to the store, purchase sandwich fixings, drive home and make sandwich Hard Drive - Drive to the store. purchase seeds. grow seeds, harvest lettuce, wheat, etc. Make sandwich."
What is currying?,transforming a function taking multiple arguments into a function that takes a single argument incremental binding of function arguments
What is the pupose of currying?,Easily get specialized functions from more general functions. Achieve this by pre-setting some some parameters at a different time and keeping them fixed afterwards.
What is the best way to curry in Python?,functools.partials
What is the Rabin–Karp algorithm?,A string searching algorithm that uses hashing to find any one of a set of pattern strings in a text
Why is hashing important?,It reduces the size of the search space by bucketing.
Grover's algorithm,"a quantum algorithm that finds with high probability the unique input to a black box function that produces a particular output value O(sqrt(N)) evaluations of the function, where N is the size of the function's domain The purpose of Grover's algorithm is - usually described as ""searching a database"" - it may be more accurate to describe it as ""inverting a function"""
SAT,"Satisfiability Problem Given a Boolean formula, what is the meaning a AND NOT b"
Why do we use pseudo-random numbers instead of truly random number?,1. So we can restart the process with the same seed. Truly random numbers are based on a physical process and unless you are Superman you can't turn back a physical process 2. Truly random numbers might not be able to be generated fast enough
Logic programming,Computation is carried out based on the knowledge repository of facts and rules eg: LISP & Prolog
the top-down approach to programm,"""programming by wishful thinking"" create function / class placeholders, use them as if they existed, and then create them"
Fluent Interface,"typically returns the modified object so that you can call another function on it aka method chaining a.append(""bar"").append(""baz"").sort()"
single-dispatch generic functions,functions executing different code depending on the arguments passed based on a single argument
Heap’s algorithm,constructs all permutations of a given sequence
Rule #1: Only optimize when ____________.,there is a proven speed bottleneck
"When optimitizing, start with _____________.",the innermost loop
beam search,Explores a graph by expanding the most promising node in a limited set.
What is a good use case for beam search?,"Machine translation To select the best translation, each part is processed, and many different ways of translating the words appear. The top best translations according to their sentence structures are kept, and the rest are discarded."
List the 4 short comings of Bloom filters:,"1. The inability to delete items 2. The inability to resize dynamically 3. The inability to count the number of occurrences of each item, especially with skewed input distributions. 4. Poor scaling out of RAM"
Quotient Filters,"Approximate Membership Query (AMQ) data structure which supports: insertion, deletion, lookups, resizing, and merging"
Counting Quotient Filters,"Extend Quotient Filters by using metadata in identified slot to count number of occurances Offers good performance and saves spaces, regardless of the input distribution. Uses less space than other counting filters, and in many cases uses less space than non-counting, membership-only data structures."
Kleene star,"""zero or more"" an unary operation on a set of symbols"
SWIG,"connects programs written in C and C++ with a variety of high-level programming languages. eg: Python, JavaScript, PHP"
GraphQL,a query language for APIs provides a complete and understandable description of the data in your API
flyweight,A shared object that can be used in multiple context simultaneously
What is one good way of solving NP hard problems?,Get a “close enough” solution using randomized improvement with clever heuristics.
1 vigintillion,a cardinal number followed by 63 zeros
Design by contract,"Software designers should define formal, precise and verifiable interface specifications for software components Which extend the ordinary definition of abstract data types with preconditions, postconditions and invariants."
How do you caculate the bitwise inverse of a integer?,x = 1 assert ~x == -(x+1)
What is a coroutine?,"A procedure that collabrotes with the caller, yielding and receiving values from the caller"
"""If an element consists of ________, it is highly probable that there is a serious problem""",more than 30 subelements How to refactor large software projects
Hamming distance,The number of positions where two integers have corresponding bits that are different. 1 vs 4 Explanation: 1 (0 0 0 1) 4 (0 1 0 0) ↑ ↑ output is 2
What is 2^7?,128
What is 2^8?,256
What is 2^10?,"1,024 about 1,000"
What is 2^16?,"65,536"
What is 2^20?,"1,048,576 about 1 million"
What is 2^30?,"1,073,741,824 about 1 billion"
What is 2^32?,"4,294,967,296"
What is 2^40?,"1,099,511,627,776 About 1 trillion"
NIC,Network Interface Controller (Card) Provides the hardware interface between a computer and a network.
What is the big O of binary search trees?,"Since they keep things in order and are trees, log(n) Faster than linear search of lists Slower than constant time of hash maps."
What is the definition of a binary search tree?,"There is root and then left and right leaves. The key in each node must be greater than or equal to any key stored in the left sub-tree, and less than or equal to any key stored in the right sub-tree."
What are 2 major advantages of binary search trees?,"1. Sorting algorithms and search algorithms are very efficient, O(log n). 2. They are easy to code."
What is a good use for binary search trees?,Priority queue
How would you implement a priority queue?,binary search tree
Destructuring,"Concise way of extracting fields from a data structure Called unpacking in Python let someInts = (10, 20); let (ten, twenty) = someInts;"
ML (programming language),Meta Language A general-purpose functional programming language eg: - SML - OCaml - Haskell
"Explain ""addition by subtraction""","Reduce generality for other performance boosts (e.g., speed or maintainability)"
STOTA,State Of The Art
Skip list,A data structure that allows for fast search Create multiple layers so that we can skip some nodes in linked list
object identity is ______ value equality is _____,fast slow
"What is the best data structure for “arrangement,” “tour,” “ordering,” or “sequence""?","Permutations (1, 4, 3, 2)"
"What is the best data structure for “cluster,” “collection,” “committee,” “group,” “packaging,” or “selection”?","Subsets {1, 3, 4} and {2} are subsets of {4, 2, 3, 1}"
"What is the best data structure for “hierarchy,” “dominance relationship,” “ancestor/descendant relationship,” or “taxonomy”?",Trees
"What is the best data structure for “network,” “circuit,” “web,” or “relationship”?",graph
"What is the best data structure for “sites,” “positions,” “data records,” or “locations”?",Points in geometric space
"What is the data structure for “shapes,” “regions,” or “boundaries”?",Polygons
